Kudos Date,Kudos Type,Parent ID
"3 Aug 2015, 08:45:40",Activity,359850237
"3 Aug 2015, 08:55:03",Activity,358741728
"10 Aug 2015, 17:52:17",Activity,364974707
"10 Aug 2015, 19:56:18",Activity,365958107
"14 Aug 2015, 09:11:57",Activity,368118047
"15 Aug 2015, 11:15:22",Activity,369323285
"15 Aug 2015, 12:17:00",Activity,369379521
"16 Aug 2015, 15:50:24",Activity,370358610
"16 Aug 2015, 19:59:23",Activity,370621444
"18 Aug 2015, 17:37:05",Activity,371880114
"19 Aug 2015, 22:47:53",Activity,372939408
"21 Aug 2015, 06:24:54",Activity,373592254
"25 Aug 2015, 10:12:16",Activity,375048592
"25 Aug 2015, 20:07:35",Activity,377342685
"28 Aug 2015, 15:15:59",Activity,379341021
"29 Aug 2015, 14:40:15",Activity,380033609
"1 Sep 2015, 09:58:16",Activity,381580698
"6 Sep 2015, 18:22:55",Activity,386281533
"7 Sep 2015, 17:52:06",Activity,386932649
"8 Sep 2015, 15:16:46",Activity,387680253
"10 Sep 2015, 08:43:27",Activity,388962249
"13 Sep 2015, 19:35:32",Activity,391364103
"17 Sep 2015, 20:44:10",Activity,394221549
"19 Sep 2015, 17:36:25",Activity,395622060
"20 Sep 2015, 08:24:44",Activity,395978193
"20 Sep 2015, 13:54:49",Activity,396236613
"20 Sep 2015, 17:59:38",Activity,395688640
"20 Sep 2015, 20:04:43",Activity,396563144
"21 Sep 2015, 19:06:40",Activity,397158649
"23 Sep 2015, 21:16:05",Activity,397898138
"25 Sep 2015, 15:18:44",Activity,399876414
"25 Sep 2015, 16:42:58",Activity,397293875
"26 Sep 2015, 19:38:02",Activity,400674720
"26 Sep 2015, 20:06:45",Activity,400585727
"26 Sep 2015, 20:11:42",Activity,400783968
"27 Sep 2015, 15:49:07",Activity,401397232
"29 Sep 2015, 22:01:41",Activity,402932624
"29 Sep 2015, 22:02:34",Activity,402823015
"1 Oct 2015, 11:06:17",Feed Entry,27984989
